T_test,R_test,delta,delta_mean,delta_std,sign_pos,sign_neg,sign_p
4,4,trm_stable-trm,-0.004583333333333335,0.011269153790790763,4,4,1.0
4,4,trm_stable-ff_matched,0.013750000000000005,0.005009250701711053,8,0,0.0078125
4,8,trm_stable-trm,0.007305555555555558,0.004599957825126819,8,0,0.0078125
4,8,trm_stable-ff_matched,0.017055555555555553,0.004819127088037066,8,0,0.0078125
4,12,trm_stable-trm,-0.015513888888888897,0.00535179921615976,0,8,0.0078125
4,12,trm_stable-ff_matched,0.016430555555555545,0.005304298446598011,8,0,0.0078125
4,16,trm_stable-trm,-0.01602777777777778,0.002947363033902577,0,8,0.0078125
4,16,trm_stable-ff_matched,0.016180555555555545,0.005154384616616637,8,0,0.0078125
8,4,trm_stable-trm,0.06191666666666665,0.009100797492043294,8,0,0.0078125
8,4,trm_stable-ff_matched,-0.17080555555555554,0.006737127643802568,0,8,0.0078125
8,8,trm_stable-trm,-0.14644444444444443,0.02744235581024752,0,8,0.0078125
8,8,trm_stable-ff_matched,-0.15041666666666664,0.010415486705656021,0,8,0.0078125
8,12,trm_stable-trm,0.12151388888888892,0.015020261154517649,8,0,0.0078125
8,12,trm_stable-ff_matched,-0.1553472222222222,0.009831461125690404,0,8,0.0078125
8,16,trm_stable-trm,0.18608333333333332,0.020545879318405662,8,0,0.0078125
8,16,trm_stable-ff_matched,-0.16001388888888887,0.009503445490477455,0,8,0.0078125
12,4,trm_stable-trm,-0.004194444444444445,0.009752628190070433,3,5,0.7265625
12,4,trm_stable-ff_matched,0.016527777777777787,0.008375185907015577,8,0,0.0078125
12,8,trm_stable-trm,0.013472222222222226,0.009699315417941601,7,1,0.0703125
12,8,trm_stable-ff_matched,0.01200000000000001,0.0064271799395464796,8,0,0.0078125
12,12,trm_stable-trm,-0.011097222222222224,0.012275272674119538,1,7,0.0703125
12,12,trm_stable-ff_matched,0.01112500000000001,0.005910692639442027,8,0,0.0078125
12,16,trm_stable-trm,-0.016138888888888897,0.007738392342688668,0,8,0.0078125
12,16,trm_stable-ff_matched,0.010430555555555561,0.0060749108179633604,7,1,0.0703125
16,4,trm_stable-trm,-0.008222222222222235,0.006595118712269242,1,7,0.0703125
16,4,trm_stable-ff_matched,0.01677777777777778,0.009096387638925766,7,1,0.0703125
16,8,trm_stable-trm,-0.007333333333333331,0.0073882026176107975,1,7,0.0703125
16,8,trm_stable-ff_matched,0.01725000000000001,0.006026616448730236,8,0,0.0078125
16,12,trm_stable-trm,-0.015902777777777787,0.011821935415425462,1,7,0.0703125
16,12,trm_stable-ff_matched,0.017041666666666663,0.004747202833697758,8,0,0.0078125
16,16,trm_stable-trm,-0.013333333333333315,0.012118608426465623,1,7,0.0703125
16,16,trm_stable-ff_matched,0.01709722222222223,0.004863729453570662,8,0,0.0078125
