config,delta,metric,delta_mean,delta_std,n_seeds,sign_pos,sign_neg,sign_p,n_near_tie,sign_p_robust
single,trm_mixer-trm_mixer_nomix,accuracy,0.29036458333333337,0.0017024069678331737,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,exact_match,0.966,0.014040757000349286,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-trm_mixer_nomix,coherence_excess,0.051253143086574304,0.020935768979751915,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,accuracy,-0.18133333333333335,0.007373965827409965,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,exact_match,-0.0225,0.009531901324349872,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-ff_matched,coherence_excess,-0.018721837215556286,0.008219381053634234,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,accuracy,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,exact_match,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_unsharedro,coherence_excess,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer-trm_mixer_unsharedro,accuracy,0.00170052083333333,0.002861206071923509,8,5,3,0.7265625,4,0.125
single,trm_mixer-trm_mixer_unsharedro,exact_match,0.050624999999999976,0.07780366774314505,8,5,3,0.7265625,0,0.7265625
single,trm_mixer-trm_mixer_unsharedro,coherence_excess,-0.014523143080881262,0.03522579192151822,8,3,5,0.7265625,0,0.7265625
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,accuracy,0.2886640625,0.0038627789475864094,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,exact_match,0.915375,0.08121389307607058,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_unsharedro-trm_mixer_nomix_unsharedro,coherence_excess,0.06577628616745557,0.03778200511820787,8,8,0,0.0078125,0,0.0078125
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,accuracy,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,exact_match,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix-trm_mixer_nomix_distinctw,coherence_excess,0.0,0.0,8,0,0,1.0,8,1.0
single,trm_mixer_nomix_unsharedro-ff_matched,accuracy,-0.18133333333333335,0.007373965827409965,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,exact_match,-0.0225,0.009531901324349872,8,0,8,0.0078125,0,0.0078125
single,trm_mixer_nomix_unsharedro-ff_matched,coherence_excess,-0.018721837215556286,0.008219381053634234,8,0,8,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,accuracy,0.10903125,0.00719057473915439,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,exact_match,0.9435,0.01853953305006052,8,8,0,0.0078125,0,0.0078125
single,trm_mixer-ff_matched,coherence_excess,0.03253130587101802,0.02103769979448261,8,7,1,0.0703125,0,0.0703125
single,trm_flat-ff_matched,accuracy,0.04506249999999998,0.0074390712959368655,8,8,0,0.0078125,0,0.0078125
single,trm_flat-ff_matched,exact_match,0.082625,0.019747965537167185,8,8,0,0.0078125,0,0.0078125
single,trm_flat-ff_matched,coherence_excess,0.047834593614384566,0.013049047426567883,8,8,0,0.0078125,0,0.0078125
